quarter,y,g,newsy,unemp,hpunemp_split,tbill
1966.25,1.057753,.2392917,.0013332,3.80,5.3920599,4.59
1966.50,1.055758,.2448975,.0144152,3.80,5.4109327,5.04
1966.75,1.055278,.246099,.0280397,3.70,5.4300202,5.21
1967.00,1.05544,.2539931,.0490428,3.80,5.4493281,4.51
1967.25,1.046937,.2519343,.0074851,3.80,5.4688608,3.66
1967.50,1.046565,.2528777,.0046746,3.80,5.4886207,4.30
1967.75,1.045584,.2538226,-.0120763,3.90,5.5086088,4.75
1968.00,1.057333,.2563429,.0059194,3.70,5.5288243,5.05
1968.25,1.065627,.2558521,-.0270384,3.60,5.5492647,5.52
1968.50,1.063779,.2553522,0,3.50,5.5699258,5.20
1968.75,1.059048,.254033,0,3.40,5.5908015,5.59
1969.00,1.065983,.2516595,0,3.40,5.6118835,6.09
1969.25,1.059956,.2496417,0,3.40,5.6331613,6.20
1969.50,1.057154,.2499482,0,3.60,5.6546223,7.02
1969.75,1.043268,.2448892,0,3.60,5.6762516,7.35
1970.00,1.032233,.2443553,-.0050121,4.20,5.6980323,7.21
1970.25,1.024949,.2401192,-.0029393,4.80,5.7199452,6.68
1970.50,1.024943,.2412523,0,5.20,5.74197,6.33
1970.75,1.0055,.2398877,0,5.80,5.7640851,5.35
1971.00,1.023355,.2371756,0,5.90,5.7862687,3.84
1971.25,1.020181,.2358252,0,5.90,5.8084986,4.25
1971.50,1.019179,.2346083,0,6.00,5.8307532,5.01
1971.75,1.013221,.2325954,0,5.90,5.8530106,4.23
1972.00,1.022385,.235586,0,5.80,5.8752493,3.44
1972.25,1.036955,.2359489,0,5.70,5.8974478,3.77
1972.50,1.037386,.2295539,0,5.60,5.9195844,4.22
1972.75,1.045448,.2303562,0,5.40,5.9416375,4.86
1973.00,1.061889,.2317299,0,4.90,5.9635848,5.70
1973.25,1.064614,.2289759,0,4.90,5.9854036,6.60
1973.50,1.04965,.2232544,-.0037549,4.80,6.0070704,8.32
1973.75,1.050281,.2227595,.0036527,4.80,6.0285602,7.50
1974.00,1.032554,.2252795,0,5.10,6.0498471,7.62
1974.25,1.026348,.2256418,0,5.20,6.0709038,8.15
1974.50,1.00765,.224484,0,5.60,6.0917021,8.19
1974.75,.9949857,.2239445,0,6.60,6.112213,7.36
1975.00,.9745051,.22366,0,8.30,6.1324069,5.75
1975.25,.973588,.2208801,0,8.90,6.1522547,5.39
1975.50,.9812055,.2215682,0,8.50,6.1717295,6.33
1975.75,.9859049,.2218201,0,8.30,6.1908072,5.63
1976.00,.9995581,.2207306,.0022333,7.70,6.209466,4.92
1976.25,.9985194,.2168055,0,7.60,6.2276861,5.16
1976.50,.995044,.2131155,0,7.70,6.2454494,5.15
1976.75,.9939768,.2114152,0,7.80,6.2627389,4.67
1977.00,.9969941,.2115029,0,7.50,6.2795392,4.63
1977.25,1.007928,.2118943,0,7.10,6.2958366,4.84
1977.50,1.01706,.2104172,-.0024463,6.90,6.3116184,5.50
1977.75,1.00855,.2083863,0,6.70,6.3268727,6.11
1978.00,1.003514,.2066349,0,6.30,6.3415882,6.39
1978.25,1.033727,.2093943,0,6.00,6.3557542,6.48
1978.50,1.035026,.2088292,0,6.00,6.3693597,7.31
1978.75,1.040083,.2084229,0,5.90,6.3823934,8.57
1979.00,1.033381,.2052871,.0046093,5.90,6.3948437,9.38
1979.25,1.025948,.2044466,0,5.70,6.4066985,9.38
1979.50,1.02466,.204056,0,5.90,6.4179451,9.67
1979.75,1.018715,.2052556,0,6.00,6.4285703,11.84
1980.00,1.013462,.2070044,.0630838,6.30,6.4385601,13.35
1980.25,.9846277,.206388,0,7.30,6.4479003,9.62
1980.50,.9749415,.2017344,0,7.70,6.4565765,9.15
1980.75,.9847489,.2017827,0,7.40,6.4645752,13.61
1981.00,.9967692,.202423,.0245073,7.40,6.471884,14.39
1981.25,.9812933,.2010771,0,7.40,6.4784915,14.91
1981.50,.9843315,.1977583,0,7.40,6.4843874,15.05
1981.75,.964795,.1994509,0,8.20,6.489562,11.75
1982.00,.9408309,.1975448,0,8.80,6.4940067,12.81
1982.25,.9381467,.1974145,0,9.40,6.4977147,12.42
1982.50,.9270774,.196726,0,9.90,6.5006814,9.32
1982.75,.9203541,.1990992,0,10.70,6.502905,7.91
1983.00,.9247677,.1989657,0,10.40,6.5043873,8.11
1983.25,.9381216,.1992033,0,10.10,6.5051342,8.40
1983.50,.9486617,.2006387,0,9.40,6.5051554,9.14
1983.75,.960323,.1953713,0,8.50,6.5044644,8.80
1984.00,.9714215,.197176,0,7.90,6.5030774,9.17
1984.25,.9804353,.2000443,0,7.40,6.5010128,9.80
1984.50,.98204,.200067,0,7.40,6.4982901,10.32
1984.75,.9818432,.2023293,0,7.30,6.4949301,8.80
1985.00,.9835753,.2030061,0,7.20,6.4909541,8.18
1985.25,.9845591,.2056192,0,7.30,6.4863845,7.46
1985.50,.9918143,.208675,0,7.20,6.4812442,7.11
1985.75,.9912064,.2083645,0,7.00,6.475557,7.17
1986.00,.9923556,.2074652,0,7.00,6.4693476,6.90
1986.25,.9889113,.2096708,0,7.20,6.4626408,6.14
1986.50,.9908735,.2129894,0,7.00,6.4554624,5.52
1986.75,.9880452,.2104971,-.0191755,6.80,6.4478386,5.35
1987.00,.987018,.2100642,0,6.60,6.4397963,5.54
1987.25,.9901444,.2104954,0,6.30,6.4313627,5.66
1987.50,.9911799,.2095419,0,6.00,6.4225652,6.04
1987.75,.9995591,.2097573,0,5.80,6.4134311,5.86
1988.00,.9972242,.2070629,-.0481606,5.70,6.4039871,5.72
1988.25,1.00242,.2061169,0,5.50,6.3942594,6.21
1988.50,1.000261,.2035457,0,5.50,6.3842736,7.01
1988.75,1.005545,.2055407,-.0110984,5.30,6.3740543,7.73
1989.00,1.007714,.2036252,0,5.20,6.3636252,8.54
1989.25,1.007683,.2051907,0,5.20,6.353009,8.41
1989.50,1.007271,.2053867,0,5.20,6.3422271,7.84
1989.75,1.001533,.205088,-.0895194,5.40,6.3312999,7.65
1990.00,1.004627,.2070356,0,5.30,6.3202465,7.76
1990.25,1.000681,.2057763,0,5.30,6.3090853,7.75
1990.50,.9931816,.2043207,0,5.70,6.2978335,7.48
1990.75,.9771191,.2060862,.0184653,6.10,6.2865073,6.99
1991.00,.9650408,.2051579,0,6.60,6.2751223,6.02
1991.25,.9650581,.2036728,0,6.80,6.263694,5.56
1991.50,.9622614,.2015361,0,6.90,6.2522382,5.38
1991.75,.9590596,.1995466,-.0173466,7.10,6.2407711,4.54
1992.00,.9629974,.2002569,0,7.40,6.2293098,3.89
1992.25,.966207,.199232,0,7.60,6.2178721,3.68
1992.50,.9682006,.1992385,0,7.60,6.2064768,3.08
1992.75,.9705065,.1971437,0,7.40,6.1951445,3.07
1993.00,.9649913,.1932636,0,7.10,6.1838969,2.96
1993.25,.9634275,.1919785,0,7.10,6.1727568,2.97
1993.50,.9608617,.1907476,0,6.80,6.1617483,3.00
1993.75,.9664128,.1898097,0,6.60,6.1508962,3.06
1994.00,.9686179,.1864818,0,6.60,6.1402258,3.24
1994.25,.9745634,.186659,0,6.20,6.1297631,3.99
1994.50,.9730542,.188515,0,6.00,6.1195344,4.48
1994.75,.9768339,.1860736,0,5.60,6.1095662,5.28
1995.00,.9729675,.1856881,0,5.50,6.0998848,5.74
1995.25,.9692007,.1855069,0,5.70,6.0905159,5.60
1995.50,.9703666,.1834959,0,5.70,6.0814848,5.37
1995.75,.9701323,.1810675,0,5.60,6.0728163,5.26
1996.00,.9694169,.1808977,0,5.50,6.0645348,4.93
1996.25,.9792158,.1812909,0,5.50,6.0566643,5.02
1996.50,.9811612,.1804418,0,5.30,6.0492281,5.10
1996.75,.9844203,.1805352,0,5.30,6.0422491,4.98
1997.00,.9848373,.179594,0,5.20,6.0357494,5.06
1997.25,.9925874,.1801567,0,5.00,6.0297503,5.05
1997.50,.9981023,.1791172,0,4.90,6.0242723,5.05
1997.75,.9987456,.178695,0,4.70,6.0193349,5.09
1998.00,1.001541,.1765084,0,4.60,6.0149565,5.05
1998.25,1.004189,.1791188,0,4.40,6.011154,4.98
1998.50,1.010253,.1798833,0,4.50,6.0079432,4.82
1998.75,1.01972,.1808899,0,4.40,6.0053379,4.25
1999.00,1.020783,.181095,.0016402,4.30,6.0033507,4.41
1999.25,1.022136,.1822141,0,4.30,6.0019926,4.45
1999.50,1.027933,.1841801,0,4.20,6.0012726,4.65
1999.75,1.038674,.1867008,0,4.10,6.0011983,5.04
2000.00,1.03465,.1851557,0,4.00,6.0017754,5.52
2000.25,1.047118,.1863208,0,3.90,6.0030076,5.71
2000.50,1.041373,.1855021,0,4.00,6.0048967,6.02
2000.75,1.040331,.1856404,0,3.90,6.0074425,6.02
2001.00,1.03052,.1874984,0,4.20,6.0106425,4.82
2001.25,1.029188,.1894805,0,4.40,6.0144924,3.66
2001.50,1.019239,.1882909,.0093937,4.80,6.0189859,3.17
2001.75,1.01544,.1896936,0,5.50,6.0241152,1.91
2002.00,1.018194,.1924938,.0281158,5.70,6.0298712,1.72
